company_name,company_name_abbr,company_status,company_slogen,company_profile,company_url,company_tag,company_info,regtime,company_scale,cofunder_id,cofunder_name,cofunder_position,cofunder_profile,itjuzi_url
中国春来教育集团有限公司,春来教育,(已上市),普通高等教育提供商,成立于2004年10月,http://www.chunlaiedu.com/, 教育 高等教育 教育综合服务 学校/院校,春来教育是一家普通高等教育提供商，现阶段在河南省经营包括商丘学院、安阳学院以及商丘学院应用科技学院在内的三所院校，并参与运营位于湖北省境内的长江大学工程技术学院。,2004.10,2000人以上,1,侯春来,董事长,侯春来，中国春来教育集团创始人、董事长。,https://www.itjuzi.com/company/33389765
南京迪格诺斯生物技术有限公司,迪格诺斯,(天使轮),体外诊断仪器研发商,成立于2015年6月，目前天使轮，2位投资人,http://, 医疗健康 寻医诊疗 医疗器械 医疗专科服务 诊断试剂 体外诊断设备 肿瘤,"迪格诺斯是一家体外诊断仪器研发商，致力于体外诊断设备及配套试剂的研发、生产和销售，产品包括磁微粒化学发光免疫分析仪、干式恒温器、磁微粒发光试剂等，广泛用于肿瘤、激素、优生优育等检测领域。
",2015.6,30-50人,1,金晶,董事长,金晶，迪格诺斯董事长。,https://www.itjuzi.com/company/33389745
山东元旭光电股份有限公司,元旭光电,(B轮),图形化蓝宝石衬底研发商,成立于2014年5月，目前B轮，3位投资人，总融资额约1亿人民币,http://www.novoshine.com/, 硬件 消费电子 电子元器件 LED 光电元器件 光电 照明灯具 非金属矿 半导体/元器件,"元旭光电是一家图形化蓝宝石衬底研发商，主要从事图形化蓝宝石衬底（PSS）、光电器件及LED灯具的研发、生产与销售，产品广泛应用于室内照明、投影仪、背光源等领域，目前公司厂房建筑面积近10,000平方米。
",2014.5,300-500人,1,郭文平,董事长,"郭文平，董事长，兼任山东元旭生物科技有限公司法人，具有多年相关工作从业经验。
",https://www.itjuzi.com/company/33389657
广州市久库实业发展有限公司,久库实业,(尚未获投),中小型非连锁电器综合店的智能集采B2B平台,,http://, 电子商务 综合电商 综合B2B,"中小型非连锁电器综合店的智能集采B2B平台。
以人工智能的算法来解决中小型电器综合店的采购对接人多、采购过程环节多、采购成本高、采购渠道品类分散等问题。对下让分散采购集中起来，对上让资源渗透到终端店铺。",2016.2,30-50人,1,叶高,创始人,"9年的家电行业管理运营经验；
曾就职于国美电器、海尔集团；
2010-2015年任北京好运通网络科技有限公司西南、华南大区总经理。
2016年创立家电渠道分销平台久库实业",https://www.itjuzi.com/company/33389205
广州市久库实业发展有限公司,久库实业,(尚未获投),中小型非连锁电器综合店的智能集采B2B平台,,http://, 电子商务 综合电商 综合B2B,"中小型非连锁电器综合店的智能集采B2B平台。
以人工智能的算法来解决中小型电器综合店的采购对接人多、采购过程环节多、采购成本高、采购渠道品类分散等问题。对下让分散采购集中起来，对上让资源渗透到终端店铺。",2016.2,30-50人,2,叶联彪,CEO,"曾就职于海尔集团任彩电渠道经理
后任北京好运通网络科技有限公司副总裁
14年家电行业经验与丰富企业运营管理经验",https://www.itjuzi.com/company/33389205
广州市久库实业发展有限公司,久库实业,(尚未获投),中小型非连锁电器综合店的智能集采B2B平台,,http://, 电子商务 综合电商 综合B2B,"中小型非连锁电器综合店的智能集采B2B平台。
以人工智能的算法来解决中小型电器综合店的采购对接人多、采购过程环节多、采购成本高、采购渠道品类分散等问题。对下让分散采购集中起来，对上让资源渗透到终端店铺。",2016.2,30-50人,3,宋盈利,采销总监,"前成都安望商贸有限公司总经理
丰富的家电类采销经验与人脉",https://www.itjuzi.com/company/33389205
广州市久库实业发展有限公司,久库实业,(尚未获投),中小型非连锁电器综合店的智能集采B2B平台,,http://, 电子商务 综合电商 综合B2B,"中小型非连锁电器综合店的智能集采B2B平台。
以人工智能的算法来解决中小型电器综合店的采购对接人多、采购过程环节多、采购成本高、采购渠道品类分散等问题。对下让分散采购集中起来，对上让资源渗透到终端店铺。",2016.2,30-50人,4,张占斌,平台技术总监,10年连锁家电信息系统定制和管理经验,https://www.itjuzi.com/company/33389205
广州市久库实业发展有限公司,久库实业,(尚未获投),中小型非连锁电器综合店的智能集采B2B平台,,http://, 电子商务 综合电商 综合B2B,"中小型非连锁电器综合店的智能集采B2B平台。
以人工智能的算法来解决中小型电器综合店的采购对接人多、采购过程环节多、采购成本高、采购渠道品类分散等问题。对下让分散采购集中起来，对上让资源渗透到终端店铺。",2016.2,30-50人,5,郭前浩,管理顾问,"前易迅网高级总监
上海财经大学首届EMBA
IT从业近20经验",https://www.itjuzi.com/company/33389205
上海甄云信息科技有限公司,甄云信息,(A轮),企业采购数字化转型综合解决方案提供商,成立于2017年6月，目前A轮，2位投资人，总融资额约1.5亿人民币,https://www.going-link.com/, 企业服务 行业信息化及解决方案,甄云信息，国内领先的IT咨询公司“汉得信息”（股票代码：300170）子公司，是企业采购数字化转型综合解决方案提供商，为企业提供 SaaS与私有化部署的采购数字化管理平台。,2017.6,50-100人,1,黄益全,董事长,黄益全，甄云信息董事长。,https://www.itjuzi.com/company/33389434
北京觅思潘教育科技有限公司,觅思策略,(天使轮),教育行业策略投资服务提供商,成立于2015年10月，目前天使轮,http://www.misspan.cn/, 企业服务 数据服务 数据分析 教育大数据,觅思策略是一家教育行业策略投资服务提供商，专注于为用户提供涵盖教育各细分领域、一二级证券市场、体制内外等信息、信息内容的数据仓库服务，同时为创业机构、体制内机构、投资机构类型用户，提供信息检索、数据提取与分析、投资组合管理应用等领域的分析软件与应用工具。,2015.10,30-50人,1,潘盼,创始人,现任觅思策略创始人，教育行业资深观察员；著有《首份游学夏令营行业发展报告》和《中国报考规划行业发展报告》，在TIME大会首发《外教师资行业发展报告》。持续跟踪几十家新三板教育企业，组织调研活动。行研分析受到行业高度认可。,https://www.itjuzi.com/company/33389361
珠海圣美生物诊断技术有限公司,圣美生物,(A轮),肿瘤液态活检服务商,成立于2016年3月，目前A轮，2位投资人，总融资额约7000万人民币,http://, 医疗健康 专科服务 医生服务 患者服务 医疗专科服务 肿瘤,"圣美生物是一家肿瘤液态活检服务商，拥有LiquidBiopsy技术和MDA test肿瘤液态活检技术，专注于CTC的捕获与检测技术的研究，其产品和服务能够辅助医生为患者做出诊断和治疗建议。
",2016.3,50-100人,1,李琳,董事长,李琳，圣美生物董事长。,https://www.itjuzi.com/company/33389203
上海掌御信息科技有限公司,掌御科技,(种子轮),区块链金融安全服务提供商,成立于2013年9月，目前种子轮，1位投资人，总融资额约300万人民币,https://weibo.com/palmim2014, 金融 虚拟货币 智能合约 数字货币 区块链应用技术 区块链行业应用 虚拟数字货币 区块链底层技术 区块链金融,"掌御科技是一家区块链金融安全服务提供商，以加密数字货币的移动安全存储为切入点，提供区块链公链安全审计、智能合约形式化自动验证、客户端黑盒安全测试和白盒代码审计，以及数字货币热钱包和冷钱包的底层安全解决方案和身份验证方案。
",2013.9,50-100人,1,彭一楠,董事长,彭一楠，掌御科技董事长。,https://www.itjuzi.com/company/33388266
沈阳百易科拓科技有限公司,有π生活,(尚未获投),区块化智能生活服务平台,,http://nuochepai.cn/, 汽车交通 车主工具及服务 车主服务 小程序,"有π生活是一家区块化智能生活服务平台，主要项目为挪车π，根据大数据分析,挪车π 针对车辆占道问题,通过扫码通知车主快速解决此类问题。",2018.3,10-15人,1,林常青,CEO,林常青，有π生活CEO,https://www.itjuzi.com/company/33389122
北京希肯琵雅国际文化发展股份有限公司,希肯文化,(新三板),中外文化演出制作经纪公司,成立于2000年9月，目前新三板,http://www.chicpia.com, 企业服务 其他企业服务 文艺演出 艺人经纪 戏曲戏剧,希肯文化是一家中外文化演出制作经纪公司，投资制作中外文化话剧、戏剧及商业活动演出，出品话剧有《守岁》、《父亲》等，并且从事演出经纪和票务管理销售和代理等多种业务。,2000.9,300-500人,1,安庭,董事长,安庭，北京希肯琵雅国际文化发展股份有限公司董事长。,https://www.itjuzi.com/company/33388226
深圳市腾鑫精密胶粘制品有限公司,腾鑫精密,(已被收购),胶粘仪器材料制造商,成立于2005年11月，目前已被收购，1位投资人,http://, 硬件 其他硬件服务 医疗设备 医疗器械及硬件 材料研发 汽车制造业 仪器仪表,"腾鑫精密是一家胶粘仪器材料制造商，主要从事胶带类模切产品、精密五金件、按键弹片等电子辅料的研发、生产及销售业务，产品主要应用于电子产品、医疗器械、汽车等多种领域。
",2005.11,2000人以上,1,王跃杰,CEO,王跃杰，腾鑫精密CEO。,https://www.itjuzi.com/company/33389042
青岛三山重九文化有限责任公司,众乐世界,(种子轮),创意场馆综合服务商,成立于2017年11月，目前种子轮，1位投资人，总融资额约1500万人民币,http://, 企业服务 其他企业服务,"众乐世界是一家创意场馆综合服务商，通过废旧厂房改造进行消费升级，打造山东地区集文化、娱乐、健身、休闲为一体的综合场馆，项目包含儿童娱乐、汤泉洗浴、成人休闲以及娱乐健身等。
",2017.11,30-50人,1,刘崇辉,CEO,刘崇辉，众乐世界CEO。,https://www.itjuzi.com/company/33388075
深圳市锦衣盒网络科技有限公司,锦衣盒,(天使轮),男装订阅电商平台,成立于2017年12月，目前天使轮，总融资额约300万人民币,http://www.jinyihe.com/, 电子商务 服装服饰 穿衣搭配 服装定制 定制电商 订阅/包月,锦衣盒是一家专注于男士形象打造，专业形象定制的电商平台。我们通过了解每一位用户的穿衣喜好以及购物要求，通过【智能算法+大数据】为顾客选择最适合的产品，并由专业的搭配师进行组合搭配以及搭配建议书的撰写。,2017.12,30-50人,1,王宣林,创始人兼CEO,王宣林，锦衣盒创始人兼CEO。,https://www.itjuzi.com/company/33388809
苏州方向文化传媒股份有限公司,方向传媒,(新三板),视觉影像内容供应商,成立于2009年5月，目前新三板,http://www.0512front.com/, 企业服务 其他企业服务 电影 网络影视,方向传媒是一家视觉影像内容供应商。主要包含企业宣传片制作、影视广告制作、MV/微电影制作、演唱会/年会导播等服务。同时公司还为用户提供包括前期设备、影棚/特技棚、灯光设备等租赁服务。,2009.5,150-300人,1,陈权,董事长,陈权，苏州方向文化传媒股份有限公司董事长。,https://www.itjuzi.com/company/33388033
暂未收录,来offer,(A轮),IT职业培训服务提供商,成立于2013年1月，目前A轮，1位投资人，总融资额约3000万人民币,https://weibo.com/laioffer, 企业服务 人力资源,"来offer是一家IT职业培训服务提供商，面向想成为软件工程师的用户提供IT知识培训、面试技能指导等培训服务，并通过其自身资源向用人企业推荐优秀学员担任实习和全职岗位，增加用户的面试成功率。

",2013.1,50-100人,1,Rick Sun,创始人,Rick Sun，来Offer创始人，算法培训名师，人工智能方向知名学者，南加州大学计算机科学博士；博士期间主攻高效人工智能和搜索算法，曾在IJCAI，AAAI， AAMAS等人工智能世界顶尖会议发表论文数十篇。,https://www.itjuzi.com/company/33388714
北京海致星图科技有限公司,海致星图,(天使轮),智能金融知识图谱提供商,成立于2015年8月，目前天使轮，1位投资人,http://www.stargraph.cn/, 金融 金融信息化 风控 金融大数据 大数据风控 知识图谱 场景金融,北京海致星图科技有限公司（以下简称海致星图）是目前国内领先的金融大数据技术与服务公司，自成立以来已经为多家金融机构提供了大数据咨询、大数据平台搭建、数据整合、数据挖掘、可视化数据分析等服务，专注向金融产业进行垂直化的深度研发，以知识图谱技术为底层，挖掘风险与营销信息的产生与传导、打造风控与营销模型、探索人工智能与机器学习的实践场景，在金融行业大数据与人工智能应用领域，有着丰富的经验与广泛的成功案例，是企业知识图谱开创者。,2015.8,50-100人,1,史有才,董事长,史有才，董事长，自2001-2011年，长期负责百度的渠道建设，历任高级经理、销售总监、副总裁等职务。作为中国搜索引擎营销领域的开创者之一，拥有丰富的管理和销售经验，长期专注于渠道建设和管理，善于大规模销售团队的精细化运营管理。拥有郑州大学计算机信息管理学士学位。,https://www.itjuzi.com/company/33388022
成都国星宇航科技有限公司,国星宇航,(天使轮),民营商业航天服务商,成立于2018年5月，目前天使轮，3位投资人，总融资额约3000万人民币,https://weibo.com/u/6620249688, 企业服务 数据服务 航空航天,"国星宇航是一家商业卫星运营与遥感数据服务的军民融合企业，拥有天府军融一号（TFJR-1）与成都高新一号（CDGX-1）两颗型号为virgo-1的AI立方星试验载荷，在火箭进入亚轨道后，旗下的AI处理系统可以完成相关数据回传及技术验证。
",2018.5,50-100人,1,赵宏杰,董事长,赵宏杰，国星宇航董事长。,https://www.itjuzi.com/company/33388644
天嘉智能装备制造江苏股份有限公司,天嘉智能,(新三板),市政公路作业车辆制造商,成立于2008年1月，目前新三板,http://www.jstianjia.com/#slide1, 企业服务 其他企业服务 电子元器件 芯片,天嘉智能是一家市政公路作业车辆制造商，旗下产品包括洗扫车、小型多功能车、特种除雪车、拖拉机除雪车等。公司产品主要机械液压混合驱动、集成电路程式化控制、设计模块化、产品互联化技术方面见长。,2008.1,150-300人,1,宋焱,董事长,宋焱，天嘉智能装备制造江苏股份有限公司董事长。,https://www.itjuzi.com/company/33387933
河北德路通生物科技有限公司,德路通,(B轮),癌症诊疗服务提供商,成立于2012年12月，目前B轮，2位投资人，总融资额约1亿人民币,http://, 医疗健康 寻医诊疗 医疗专科服务 癌症 肿瘤,"德路通是一家癌症诊疗服务提供商，通过引进德国GILUPI公司的新型肿瘤细胞检测器，采用特殊涂层技术，将留置针插入病人的任何可进入的外围血管，进行对特定细胞的分离捕获。主要应用于癌症病人复发监测与及时诊断、放化疗效果的快速评估、个体化治疗方案的制订、靶向治疗药物筛选、体检普查等方面。
",2012.12,300-500人,1,许宝芝,董事长,许宝芝，德路通董事长。,https://www.itjuzi.com/company/33388510
宁波景升明诚汽车科技股份有限公司,景升股份,(新三板),汽车零部件生产商,成立于2006年8月，目前新三板,http://www.kingsunchina.com/, 企业服务 其他企业服务 汽车配件 汽车制造,景升股份是一家汽车零部件生产商，公司经营范围包括汽车减震器及汽车发动机配件的研发与生产，还提供变速箱悬置软垫、控制臂、皮带轮等汽车零部件，适用于奔驰、宝马、欧宝、沃尔沃等汽车设备中。,2006.8,150-300人,1,王德忠,董事长,王德忠，宁波景升明诚汽车科技股份有限公司董事长。,https://www.itjuzi.com/company/33387693
南京集客吧网络科技有限公司,GeekBar,(A轮),手机维修服务提供商,成立于2015年3月，目前A轮，1位投资人,https://weibo.com/geekbar, 企业服务 其他企业服务 维修服务,"GeekBar是一家手机维修服务提供商，其前身为Apple第三方维修服务商的开创者iHospital中国，自苹果初代手机发布以来一直潜心钻研其应用技术，通过十年实战经验的积累，拥有业内最系统全面的培训体系，打造出了一批理论与实战双全的维修技术团队，在全球iPhone 技术解析领域享有盛誉。
",2015.3,50-100人,1,张磊,董事长,张磊，GeekBar董事长。,https://www.itjuzi.com/company/33388462
上海矩云信息技术有限公司,矩云信息,(天使轮),营销技术服务商,成立于2017年8月，目前天使轮，1位投资人，总融资额约300万人民币,https://touty.io/, 广告营销 整合营销传播 精准营销 内容营销,矩云信息是一个营销技术服务商，致力于帮助企业5分钟搭建一个业务场景的自动营销流程，为客户提供实时营销，打通数据、策略和内容交互，搭建由数据驱动的营销运营体系，从而提升潜在客户转换率和客户黏度。,2017.8,50-100人,1,武越,创始人,武越，矩云信息创始人。曾任职于HP、联想、施耐德。,https://www.itjuzi.com/company/33387595
